'unter den linden'	'ウンテル・デン・リンデン'
'jib'	'ジブ'
'jig'	'ジグ'
'job'	'ヨブ'
'johannes'	'ヨハンネス'
'johnson'	'ジヨンソン'
'jolo'	'ホロ'
'jones'	'ジョーンス'
'jordan'	'ジョルダン'
'josef'	'ヨゼフ'
'joseph'	'ジョセフ,ジョゼフ'
'jour'	'ジュール'
'judas'	'ユダ'
'julius'	'ユリウス'
'junction'	'ジャンクション'
'jupiter'	'ジュピター'
'jus'	'ユス'
'justify'	'ジャスティファイ'
'kabul'	'カブール'
'kafka'	'カフカ'
'kaiser'	'カイゼル'
'kaiserhof'	'カイゼルホオフ'
'kalidasa'	'カーリダーサ'
'kamchatka'	'カムチャツカ'
'kamfer'	'カンフル'
'kamin'	'カミン'
'kandelaar'	'カンテラ'
'karl'	'カルル'
'karma'	'カルマ'
'kashmir'	'カシミール'
'kassapa'	'カッサパ'
'kate'	'ケート'
'katmandu'	'カトマンズ'
'kay'	'ケー,ケイ'
'kazan'	'カザン'
'keats'	'キーツ'
'kelly'	'ケリー'
'kelvin'	'ケルヴィン'
'keno'	'キノ'
'kew'	'キュー'
'key'	'キイ,キー'
'khaki'	'カーキー,カキ,カーキ'
'khan'	'カーン,カン,ハン'
'khronos'	'クロノス'
'kidd'	'キッド'
'kierkegaard'	'キェルケゴール'
'kill'	'キル'
'kiln'	'キルン'
'kilo'	'キロ'
'kilogramme'	'キログラム'
'kilometre'	'キロメートル'
'kilt'	'キルト'
'kinema'	'キネマ'
'kinine'	'キニーネ'
'kiosk'	'キオスク'
'kiss'	'キス,キッス'
'kit'	'キット'
'klein'	'クライン'
'kleopatra'	'クレオパトラ'
'knee'	'ニー'
'knigge'	'クニッゲ'
'knight'	'ナイト'
'knock'	'ノック'
'know'	'ノウ'
'koch'	'コツホ,コッホ'
'koeber'	'ケーベル'
'koenig'	'キョオニヒ'
'koln'	'ケルン'
